Metric,ERC-8004,Google A2A (full)
Nodes,67,771
Edges,65,1230
Density,0.0294,0.0041
Mean degree,1.582,3.191
DCstd (normalized),0.0512,0.0126
Max degree,19,170
Top-3 degree share,0.3231,0.1492
Gini(degree),0.8037,0.7786
# Components,43,346
Giant component ratio,0.3284,0.5344
Modularity (institution),-0.0586,-0.0343
Modularity (Louvain),0.4245,0.4727
# Louvain communities,46,358
CP p-value,0.139,1.0
CP significant (p<.05),False,False
Core node count,3,769
Avg core degree,8.0,3.196
Betweenness mean,0.002477,0.000675
Betweenness max,0.06868,0.13594
Betweenness Gini,0.9309,0.979
Top-3 betweenness share,0.7076,0.4849
Network efficiency (harmonic),0.05048,0.10954
Harmonic centrality max,0.24242,0.37351
Eigenvec Gini (giant comp.),0.3767,0.5071
Eigenvec max (giant comp.),0.54573,0.35736
