id,label,institution,size
BitmineMarine,BitmineMarine,Independent,10
CertifiedCryp,CertifiedCryp,Independent,10
Cyberpaisa,Cyberpaisa,Independent,12
CypherVae,CypherVae,Independent,10
Eth,Eth,Independent,10
KBryan,KBryan,Independent,12
MarcoMetaMask,MarcoMetaMask,MetaMask,42
McOso,McOso,Independent,10
Metanize,Metanize,Independent,10
Moshiii,Moshiii,Independent,12
Nithin-Varma,Nithin-Varma,Independent,12
OoXooOx,OoXooOx,Independent,10
S8ken,S8ken,Independent,10
Spaded,Spaded,Independent,10
Sparksss,Sparksss,Independent,10
SumeetChougule,SumeetChougule,Independent,16
VickyFu,VickyFu,Independent,10
Walodja1987,Walodja1987,Independent,10
abcoathup,abcoathup,Independent,12
alftom,alftom,Independent,10
azanux,azanux,Independent,16
bransdotcom,bransdotcom,Independent,12
comeToThinkOfEth,comeToThinkOfEth,Independent,10
daniel-ospina,daniel-ospina,Independent,12
dcbuild3r,dcbuild3r,Independent,10
dcrapis,dcrapis,Independent,26
deiu,deiu,Independent,12
denverbaumgartner,denverbaumgartner,Independent,12
dievardump,dievardump,Independent,10
ernestognw,ernestognw,Independent,10
felixnorden,felixnorden,Independent,18
gpt3_eth,gpt3_eth,Independent,10
hjs_foundation,hjs_foundation,Independent,10
jdutreve,jdutreve,Independent,10
joao1963,joao1963,Unknown,10
kimomon,kimomon,Independent,10
kinglouis,kinglouis,Independent,10
leonprou,leonprou,Independent,10
lightclient,lightclient,Ethereum Foundation,18
lisenokdonbassenok,lisenokdonbassenok,Independent,10
matevz-oasis,matevz-oasis,Independent,14
micheda,micheda,Independent,10
mlegls,mlegls,Independent,14
node0,node0,Independent,10
nuhgid,nuhgid,Unknown,10
nxt3d,nxt3d,Unknown,12
orgtrust.eth,orgtrust.eth,Independent,12
pcarranzav,pcarranzav,Independent,24
peersky,peersky,Independent,10
rithikha,rithikha,Independent,10
sarkazein,sarkazein,Independent,10
sbacha,sbacha,Independent,10
soispoke,soispoke,Independent,10
spengrah,spengrah,Independent,18
sterlingcrispin,sterlingcrispin,Independent,10
tantodefi,tantodefi,Independent,10
ten-io-meta,ten-io-meta,Independent,10
theagora,theagora,Independent,10
tim-cotten,tim-cotten,Independent,10
tokmakoff,tokmakoff,Independent,10
treza-labs,treza-labs,Independent,10
vkpatva,vkpatva,Independent,10
voidcenter,voidcenter,Independent,12
wanderosity,wanderosity,Independent,10
weedeej,weedeej,Independent,12
xiaowh7,xiaowh7,Independent,10
zonu,zonu,Independent,14
